id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz	fx	fy	cx	cy
0	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000006.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000006.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.579255	1.911851	0.489277	0.492595
3	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000020.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000020.png	0.998872	0.002296	0.047368	0.002367	0.149273	-0.039584	1.933786	0.579255	1.911851	0.489277	0.492595
2	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000036.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000036.png	0.999575	0.000516	0.029088	0.001838	0.102011	-0.024718	2.145458	0.579255	1.911851	0.489277	0.492595
1	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000047.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000047.png	0.999943	0.003241	0.010113	0.001013	0.046440	-0.027502	2.415187	0.579255	1.911851	0.489277	0.492595
0	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000056.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000056.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.579255	1.911851	0.489277	0.492595
3	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000070.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000070.png	0.999997	0.001155	-0.000936	0.001985	0.005510	-0.035263	3.376582	0.579255	1.911851	0.489277	0.492595
2	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000088.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000088.png	0.999987	0.000350	0.004909	-0.001549	0.017358	-0.047568	3.906900	0.579255	1.911851	0.489277	0.492595
1	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000097.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000097.png	0.999983	0.001203	0.005776	0.000181	0.021223	-0.053624	4.097169	0.579255	1.911851	0.489277	0.492595
0	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000108.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000108.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.579255	1.911851	0.489277	0.492595
3	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000122.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000122.png	0.999992	-0.000177	0.003987	0.000718	0.019087	-0.054562	4.341243	0.579255	1.911851	0.489277	0.492595
2	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000131.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000131.png	0.999992	0.000838	0.003832	-0.000175	0.019939	-0.061779	4.711020	0.579255	1.911851	0.489277	0.492595
1	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000142.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000142.png	0.999996	0.000669	0.002775	0.000769	0.027338	-0.072592	4.835892	0.579255	1.911851	0.489277	0.492595
0	2011_10_03/2011_10_03_drive_0042_sync/image_02/data/0000000151.png	train/2011_10_03_drive_0042_sync/proj_depth/groundtruth/image_02/0000000151.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.579255	1.911851	0.489277	0.492595
