id camera_l disp qw qx qy qz tx ty tz
0 Kite_training/cloudy/color_left/trajectory_3004/000004.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000004.PNG 0.999999 -0.000439 -8e-06 -0.001589 0.74986 0.307786 1.758223
1 Kite_training/cloudy/color_left/trajectory_3004/000008.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000008.PNG 1.0 0.000196 -1e-06 -0.000667 0.715277 0.316163 1.785189
2 Kite_training/cloudy/color_left/trajectory_3004/000012.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000012.PNG 0.999999 0.000957 1.8e-05 0.00064 0.681218 0.317951 1.810803
3 Kite_training/cloudy/color_left/trajectory_3004/000016.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000016.PNG 0.999996 0.00173 3.8e-05 0.002207 0.648074 0.314577 1.835013
4 Kite_training/cloudy/color_left/trajectory_3004/000020.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000020.PNG 0.999993 0.001742 3.8e-05 0.003193 0.617028 0.313999 1.857939
5 Kite_training/cloudy/color_left/trajectory_3004/000024.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000024.PNG 0.999994 0.000675 2.6e-05 0.003253 0.588265 0.317641 1.880052
6 Kite_training/cloudy/color_left/trajectory_3004/000028.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000028.PNG 0.999996 -0.001183 2.4e-05 0.002503 0.56126 0.322017 1.902085
7 Kite_training/cloudy/color_left/trajectory_3004/000032.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000032.PNG 0.999996 -0.002121 3.3e-05 0.001657 0.53508 0.321409 1.925122
8 Kite_training/cloudy/color_left/trajectory_3004/000036.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000036.PNG 0.999998 -0.001508 3.4e-05 0.000976 0.509446 0.317869 1.948807
9 Kite_training/cloudy/color_left/trajectory_3004/000040.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000040.PNG 1.0 0.000591 1.9e-05 0.000472 0.484469 0.317059 1.972079
10 Kite_training/cloudy/color_left/trajectory_3004/000044.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000044.PNG 0.999995 0.003147 1.4e-05 0.000382 0.460044 0.324399 1.992768
11 Kite_training/cloudy/color_left/trajectory_3004/000048.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000048.PNG 0.999985 0.005341 3.7e-05 0.000897 0.436172 0.34128 2.009512
12 Kite_training/cloudy/color_left/trajectory_3004/000052.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000052.PNG 0.999973 0.007104 7.6e-05 0.001986 0.413184 0.365985 2.022287
13 Kite_training/cloudy/color_left/trajectory_3004/000056.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000056.PNG 0.999968 0.007493 8.6e-05 0.002934 0.391936 0.397548 2.030578
14 Kite_training/cloudy/color_left/trajectory_3004/000060.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000060.PNG 0.999979 0.005641 6.3e-05 0.003078 0.372989 0.431554 2.034751
15 Kite_training/cloudy/color_left/trajectory_3004/000064.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000064.PNG 0.999996 0.001671 5.7e-05 0.002412 0.355879 0.459572 2.036921
16 Kite_training/cloudy/color_left/trajectory_3004/000068.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000068.PNG 0.999997 -0.001956 8.1e-05 0.001306 0.339323 0.475756 2.041284
17 Kite_training/cloudy/color_left/trajectory_3004/000072.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000072.PNG 0.999995 -0.003282 0.0001 5.8e-05 0.322357 0.483491 2.049365
18 Kite_training/cloudy/color_left/trajectory_3004/000076.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000076.PNG 0.999997 -0.002265 9.5e-05 -0.001319 0.304784 0.492077 2.059225
19 Kite_training/cloudy/color_left/trajectory_3004/000080.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000080.PNG 0.999998 -0.000209 7.8e-05 -0.001976 0.286045 0.508879 2.068523
20 Kite_training/cloudy/color_left/trajectory_3004/000084.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000084.PNG 1.0 0.000483 5.2e-05 -0.000341 0.265993 0.533689 2.075759
21 Kite_training/cloudy/color_left/trajectory_3004/000088.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000088.PNG 0.999993 -0.000447 4e-06 0.003752 0.247044 0.559269 2.082125
22 Kite_training/cloudy/color_left/trajectory_3004/000092.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000092.PNG 0.999959 -0.002287 -1.3e-05 0.008795 0.233693 0.578327 2.089709
23 Kite_training/cloudy/color_left/trajectory_3004/000096.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000096.PNG 0.999937 -0.003137 6.4e-05 0.010765 0.230877 0.587891 2.100546
24 Kite_training/cloudy/color_left/trajectory_3004/000100.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000100.PNG 0.999956 -0.002683 0.000166 0.008998 0.235433 0.59347 2.113784
25 Kite_training/cloudy/color_left/trajectory_3004/000104.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000104.PNG 0.999989 -0.001252 0.000202 0.004442 0.242149 0.601679 2.127662
26 Kite_training/cloudy/color_left/trajectory_3004/000108.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000108.PNG 0.999999 -0.000199 0.000132 0.001036 0.244869 0.616738 2.139773
27 Kite_training/cloudy/color_left/trajectory_3004/000112.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000112.PNG 1.0 0.000122 -2e-05 -0.000198 0.244311 0.636288 2.150099
28 Kite_training/cloudy/color_left/trajectory_3004/000116.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000116.PNG 1.0 0.000136 -0.000199 0.000486 0.243333 0.655429 2.159348
29 Kite_training/cloudy/color_left/trajectory_3004/000120.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000120.PNG 0.999996 0.002163 -0.000136 0.001687 0.244718 0.667775 2.167415
30 Kite_training/cloudy/color_left/trajectory_3004/000124.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000124.PNG 0.999971 0.007004 0.000231 0.002919 0.248232 0.680402 2.171471
31 Kite_training/cloudy/color_left/trajectory_3004/000128.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000128.PNG 0.999888 0.014346 0.000812 0.004244 0.252858 0.705554 2.167069
32 Kite_training/cloudy/color_left/trajectory_3004/000132.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000132.PNG 0.999782 0.019661 0.001239 0.006852 0.260899 0.754199 2.144855
33 Kite_training/cloudy/color_left/trajectory_3004/000136.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000136.PNG 0.999739 0.019574 0.001316 0.011672 0.277531 0.815557 2.103325
34 Kite_training/cloudy/color_left/trajectory_3004/000140.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000140.PNG 0.999725 0.014094 0.001262 0.018695 0.30837 0.863258 2.051736
35 Kite_training/cloudy/color_left/trajectory_3004/000144.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000144.PNG 0.999675 0.006727 0.001242 0.024574 0.360017 0.877366 2.004231
36 Kite_training/cloudy/color_left/trajectory_3004/000148.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000148.PNG 0.999691 0.002118 0.000853 0.024761 0.432647 0.856805 1.968771
37 Kite_training/cloudy/color_left/trajectory_3004/000152.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000152.PNG 0.999817 0.000451 -0.000218 0.019134 0.516661 0.816036 1.939945
38 Kite_training/cloudy/color_left/trajectory_3004/000156.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000156.PNG 0.999925 0.001112 -0.000623 0.012156 0.601629 0.772996 1.911921
39 Kite_training/cloudy/color_left/trajectory_3004/000160.JPEG Kite_training/cloudy/stereo_disparity/trajectory_3004/000160.PNG 0.99996 0.003709 0.00111 0.008074 0.681045 0.741138 1.88187
