id camera_l disp qw qx qy qz tx ty tz
0 Kite_training/foggy/color_left/trajectory_2008/000004.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000004.PNG 0.999997 -0.000927 -0.001049 0.002007 0.861086 -0.597591 1.644863
1 Kite_training/foggy/color_left/trajectory_2008/000008.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000008.PNG 0.999997 -0.001619 -0.00032 0.001665 0.855701 -0.600491 1.642875
2 Kite_training/foggy/color_left/trajectory_2008/000012.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000012.PNG 0.999996 -0.002515 -0.000113 0.001071 0.848806 -0.605385 1.641966
3 Kite_training/foggy/color_left/trajectory_2008/000016.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000016.PNG 0.999994 -0.003423 -0.000292 0.000325 0.842379 -0.612416 1.641143
4 Kite_training/foggy/color_left/trajectory_2008/000020.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000020.PNG 0.999994 -0.003465 -0.000249 -9.4e-05 0.8377 -0.620871 1.640556
5 Kite_training/foggy/color_left/trajectory_2008/000024.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000024.PNG 0.999997 -0.002395 0.000189 -4.5e-05 0.8336 -0.628359 1.641904
6 Kite_training/foggy/color_left/trajectory_2008/000028.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000028.PNG 0.999999 -0.000386 0.000902 0.000386 0.828118 -0.632065 1.647091
7 Kite_training/foggy/color_left/trajectory_2008/000032.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000032.PNG 0.999999 0.000989 0.000793 0.000387 0.819081 -0.629634 1.656107
8 Kite_training/foggy/color_left/trajectory_2008/000036.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000036.PNG 0.999999 0.00089 -0.000718 -0.00047 0.80933 -0.622432 1.665883
9 Kite_training/foggy/color_left/trajectory_2008/000040.JPEG Kite_training/foggy/stereo_disparity/trajectory_2008/000040.PNG 0.999991 -0.000557 -0.003644 -0.002108 0.804478 -0.614089 1.672382
