id camera_l disp qw qx qy qz tx ty tz
0 Kite_training/sunny/color_left/trajectory_0014/000004.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000004.PNG 1.0 -0.000113 0.000205 0.000361 -0.042254 -0.337792 1.030301
1 Kite_training/sunny/color_left/trajectory_0014/000008.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000008.PNG 1.0 -0.000133 0.000406 0.000159 -0.031277 -0.320558 1.028761
2 Kite_training/sunny/color_left/trajectory_0014/000012.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000012.PNG 1.0 0.000136 0.000691 -0.000121 -0.020294 -0.301535 1.02702
3 Kite_training/sunny/color_left/trajectory_0014/000016.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000016.PNG 0.999999 0.000538 0.001011 -0.000444 -0.009575 -0.280741 1.025288
4 Kite_training/sunny/color_left/trajectory_0014/000020.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000020.PNG 0.999999 0.000291 0.001119 -0.000632 0.000179 -0.261012 1.023785
5 Kite_training/sunny/color_left/trajectory_0014/000024.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000024.PNG 0.999999 -0.000847 0.000935 -0.000627 0.009112 -0.244638 1.022222
6 Kite_training/sunny/color_left/trajectory_0014/000028.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000028.PNG 0.999996 -0.002603 0.000527 -0.000395 0.017861 -0.23295 1.020337
7 Kite_training/sunny/color_left/trajectory_0014/000032.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000032.PNG 0.999995 -0.003254 0.000338 0.0003 0.027647 -0.224152 1.018805
8 Kite_training/sunny/color_left/trajectory_0014/000036.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000036.PNG 0.999996 -0.002131 0.000544 0.001552 0.03817 -0.21486 1.018597
9 Kite_training/sunny/color_left/trajectory_0014/000040.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000040.PNG 0.999994 0.000588 0.001103 0.003294 0.048531 -0.20163 1.020421
10 Kite_training/sunny/color_left/trajectory_0014/000044.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000044.PNG 0.999984 0.00274 0.001715 0.004657 0.058848 -0.181918 1.023229
11 Kite_training/sunny/color_left/trajectory_0014/000048.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000048.PNG 0.99998 0.002909 0.002226 0.005078 0.069958 -0.157321 1.025529
12 Kite_training/sunny/color_left/trajectory_0014/000052.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000052.PNG 0.999985 0.001185 0.002697 0.004587 0.082524 -0.131901 1.026599
13 Kite_training/sunny/color_left/trajectory_0014/000056.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000056.PNG 0.999988 -0.000585 0.003227 0.003654 0.09639 -0.109372 1.026875
14 Kite_training/sunny/color_left/trajectory_0014/000060.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000060.PNG 0.999989 -0.000933 0.003838 0.002643 0.111029 -0.089637 1.027287
15 Kite_training/sunny/color_left/trajectory_0014/000064.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000064.PNG 0.999989 0.000131 0.004488 0.001566 0.126125 -0.069722 1.028355
16 Kite_training/sunny/color_left/trajectory_0014/000068.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000068.PNG 0.999988 0.001167 0.004775 0.000701 0.140675 -0.047734 1.029989
17 Kite_training/sunny/color_left/trajectory_0014/000072.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000072.PNG 0.999991 0.000569 0.00426 0.000372 0.154378 -0.024935 1.031609
18 Kite_training/sunny/color_left/trajectory_0014/000076.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000076.PNG 0.999994 -0.001722 0.002935 0.000599 0.168732 -0.004881 1.032843
19 Kite_training/sunny/color_left/trajectory_0014/000080.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000080.PNG 0.999989 -0.004299 0.001361 0.00098 0.185938 0.007426 1.03449
20 Kite_training/sunny/color_left/trajectory_0014/000084.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000084.PNG 0.999987 -0.005046 0.000376 0.000912 0.207333 0.009257 1.038024
21 Kite_training/sunny/color_left/trajectory_0014/000088.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000088.PNG 0.999993 -0.003788 3.3e-05 0.000362 0.231735 0.004311 1.043596
22 Kite_training/sunny/color_left/trajectory_0014/000092.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000092.PNG 0.999999 -0.001403 0.000132 -0.000388 0.257351 -0.001364 1.050714
23 Kite_training/sunny/color_left/trajectory_0014/000096.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000096.PNG 1.0 -3e-06 0.000214 -0.000714 0.282199 -0.001162 1.058177
24 Kite_training/sunny/color_left/trajectory_0014/000100.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000100.PNG 1.0 0.000105 0.000211 -0.000527 0.306149 0.003361 1.06578
25 Kite_training/sunny/color_left/trajectory_0014/000104.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000104.PNG 1.0 -0.000744 0.00014 2.7e-05 0.329527 0.008862 1.073501
26 Kite_training/sunny/color_left/trajectory_0014/000108.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000108.PNG 0.999999 -0.001152 8.2e-05 0.000346 0.353136 0.011593 1.081457
27 Kite_training/sunny/color_left/trajectory_0014/000112.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000112.PNG 1.0 -0.000755 5.9e-05 0.000271 0.377118 0.012209 1.08969
28 Kite_training/sunny/color_left/trajectory_0014/000116.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000116.PNG 1.0 0.000283 6.4e-05 -0.000113 0.401324 0.012709 1.098078
29 Kite_training/sunny/color_left/trajectory_0014/000120.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000120.PNG 0.999999 0.001072 7.1e-05 -0.00035 0.425308 0.014722 1.105954
30 Kite_training/sunny/color_left/trajectory_0014/000124.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000124.PNG 0.999999 0.001307 7.1e-05 -0.000284 0.448939 0.017635 1.113091
31 Kite_training/sunny/color_left/trajectory_0014/000128.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000128.PNG 0.999999 0.001053 6.3e-05 8e-06 0.472257 0.019919 1.119537
32 Kite_training/sunny/color_left/trajectory_0014/000132.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000132.PNG 1.0 0.000901 4.9e-05 -0.000169 0.49544 0.019693 1.125605
33 Kite_training/sunny/color_left/trajectory_0014/000136.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000136.PNG 0.999999 0.00116 3.2e-05 -0.001178 0.518561 0.017332 1.131447
34 Kite_training/sunny/color_left/trajectory_0014/000140.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000140.PNG 0.999994 0.001795 1.8e-05 -0.002963 0.541424 0.014247 1.13698
35 Kite_training/sunny/color_left/trajectory_0014/000144.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000144.PNG 0.999986 0.002374 1.4e-05 -0.004819 0.561926 0.007233 1.141419
36 Kite_training/sunny/color_left/trajectory_0014/000148.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000148.PNG 0.999977 0.002617 1.8e-05 -0.006297 0.578928 -0.006853 1.144385
37 Kite_training/sunny/color_left/trajectory_0014/000152.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000152.PNG 0.99997 0.002534 2e-05 -0.00735 0.592802 -0.028936 1.146064
38 Kite_training/sunny/color_left/trajectory_0014/000156.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000156.PNG 0.99997 0.002303 2.6e-05 -0.007457 0.603444 -0.056524 1.146652
39 Kite_training/sunny/color_left/trajectory_0014/000160.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000160.PNG 0.999978 0.00206 4.2e-05 -0.006228 0.610623 -0.088416 1.146227
40 Kite_training/sunny/color_left/trajectory_0014/000164.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000164.PNG 0.999992 0.001795 6.4e-05 -0.003696 0.614248 -0.126284 1.144827
41 Kite_training/sunny/color_left/trajectory_0014/000168.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000168.PNG 0.999999 0.001173 7.9e-05 -0.001095 0.615891 -0.168322 1.143007
42 Kite_training/sunny/color_left/trajectory_0014/000172.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000172.PNG 1.0 -0.000193 7.7e-05 0.000144 0.617405 -0.211276 1.141185
43 Kite_training/sunny/color_left/trajectory_0014/000176.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000176.PNG 0.999997 -0.002314 6.4e-05 -4.8e-05 0.618948 -0.25491 1.138824
44 Kite_training/sunny/color_left/trajectory_0014/000180.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000180.PNG 0.999989 -0.004534 4.6e-05 -0.000983 0.620527 -0.29764 1.136188
45 Kite_training/sunny/color_left/trajectory_0014/000184.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000184.PNG 0.999982 -0.005829 3.2e-05 -0.001589 0.621844 -0.336393 1.134479
46 Kite_training/sunny/color_left/trajectory_0014/000188.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000188.PNG 0.99998 -0.006109 2.9e-05 -0.001774 0.622732 -0.369322 1.134274
47 Kite_training/sunny/color_left/trajectory_0014/000192.JPEG Kite_training/sunny/stereo_disparity/trajectory_0014/000192.PNG 0.999983 -0.005674 4.3e-05 -0.001601 0.622954 -0.395444 1.1363
