id camera_l disp qw qx qy qz tx ty tz
0 Kite_training/sunset/color_left/trajectory_1017/000004.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000004.PNG 0.999823 -0.018811 1e-05 -6e-06 -0.285709 -0.857585 0.83406
1 Kite_training/sunset/color_left/trajectory_1017/000008.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000008.PNG 0.999786 -0.020673 2.5e-05 3e-06 -0.285028 -0.868184 0.810268
2 Kite_training/sunset/color_left/trajectory_1017/000012.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000012.PNG 0.999826 -0.018664 4.6e-05 1.1e-05 -0.284389 -0.837419 0.793268
3 Kite_training/sunset/color_left/trajectory_1017/000016.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000016.PNG 0.999916 -0.012963 7.3e-05 1.9e-05 -0.283799 -0.762034 0.794924
4 Kite_training/sunset/color_left/trajectory_1017/000020.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000020.PNG 0.999976 -0.00686 9e-05 2.6e-05 -0.283271 -0.668116 0.816582
5 Kite_training/sunset/color_left/trajectory_1017/000024.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000024.PNG 0.999995 -0.003245 8.7e-05 3e-05 -0.282794 -0.58164 0.849251
6 Kite_training/sunset/color_left/trajectory_1017/000028.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000028.PNG 0.999998 -0.001955 6.5e-05 3.1e-05 -0.282329 -0.505788 0.886444
7 Kite_training/sunset/color_left/trajectory_1017/000032.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000032.PNG 0.999999 -0.001515 4.5e-05 2.3e-05 -0.28183 -0.438578 0.925748
8 Kite_training/sunset/color_left/trajectory_1017/000036.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000036.PNG 0.999999 -0.001414 3.3e-05 6e-06 -0.281286 -0.379457 0.96644
9 Kite_training/sunset/color_left/trajectory_1017/000040.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000040.PNG 0.999999 -0.001642 3e-05 -2e-05 -0.280706 -0.329261 1.008057
10 Kite_training/sunset/color_left/trajectory_1017/000044.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000044.PNG 0.999998 -0.001912 3e-05 -3.9e-05 -0.280112 -0.298595 1.05027
11 Kite_training/sunset/color_left/trajectory_1017/000048.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000048.PNG 0.999998 -0.001849 2.8e-05 -3.2e-05 -0.279524 -0.300503 1.092831
12 Kite_training/sunset/color_left/trajectory_1017/000052.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000052.PNG 0.999999 -0.001433 2.4e-05 2e-06 -0.278949 -0.334483 1.135577
13 Kite_training/sunset/color_left/trajectory_1017/000056.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000056.PNG 1.0 -0.000765 1.7e-05 2.8e-05 -0.278395 -0.382394 1.178061
14 Kite_training/sunset/color_left/trajectory_1017/000060.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000060.PNG 1.0 4.3e-05 7e-06 8e-06 -0.277857 -0.425076 1.220113
15 Kite_training/sunset/color_left/trajectory_1017/000064.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000064.PNG 1.0 0.000986 -6e-06 -5.8e-05 -0.277288 -0.461131 1.26203
16 Kite_training/sunset/color_left/trajectory_1017/000068.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000068.PNG 0.999998 0.00174 -1.3e-05 -0.000103 -0.276616 -0.490807 1.303915
17 Kite_training/sunset/color_left/trajectory_1017/000072.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000072.PNG 0.999999 0.00165 0.0 1.1e-05 -0.275841 -0.515954 1.345323
18 Kite_training/sunset/color_left/trajectory_1017/000076.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000076.PNG 1.0 0.000635 3.6e-05 0.000302 -0.275183 -0.538844 1.385385
19 Kite_training/sunset/color_left/trajectory_1017/000080.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000080.PNG 0.999999 -0.000933 8.7e-05 0.000579 -0.274932 -0.560167 1.423357
20 Kite_training/sunset/color_left/trajectory_1017/000084.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000084.PNG 0.999998 -0.001887 0.000119 0.000242 -0.275171 -0.575873 1.459518
21 Kite_training/sunset/color_left/trajectory_1017/000088.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000088.PNG 0.999998 -0.001998 0.000121 -0.000826 -0.275137 -0.583648 1.494723
22 Kite_training/sunset/color_left/trajectory_1017/000092.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000092.PNG 0.999996 -0.001337 9.8e-05 -0.002326 -0.27403 -0.582274 1.52988
23 Kite_training/sunset/color_left/trajectory_1017/000096.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000096.PNG 0.999996 -0.000247 8.1e-05 -0.002789 -0.272103 -0.573294 1.565126
24 Kite_training/sunset/color_left/trajectory_1017/000100.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000100.PNG 0.999998 0.001167 8.5e-05 -0.001764 -0.270944 -0.555768 1.60067
25 Kite_training/sunset/color_left/trajectory_1017/000104.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000104.PNG 0.999996 0.002671 0.000102 0.000293 -0.272089 -0.528866 1.636528
26 Kite_training/sunset/color_left/trajectory_1017/000108.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000108.PNG 0.999993 0.003307 0.000101 0.001488 -0.275387 -0.496619 1.671763
27 Kite_training/sunset/color_left/trajectory_1017/000112.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000112.PNG 0.999995 0.002823 8.5e-05 0.001329 -0.279333 -0.463506 1.705133
28 Kite_training/sunset/color_left/trajectory_1017/000116.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000116.PNG 0.999999 0.001317 6.8e-05 -0.000107 -0.282543 -0.434348 1.735648
29 Kite_training/sunset/color_left/trajectory_1017/000120.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000120.PNG 0.999999 0.000403 4.6e-05 -0.001575 -0.284728 -0.418151 1.763109
30 Kite_training/sunset/color_left/trajectory_1017/000124.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000124.PNG 0.999997 0.001409 2e-05 -0.002053 -0.286549 -0.416827 1.788627
31 Kite_training/sunset/color_left/trajectory_1017/000128.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000128.PNG 0.999989 0.004337 7e-06 -0.001514 -0.288756 -0.423173 1.813838
32 Kite_training/sunset/color_left/trajectory_1017/000132.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000132.PNG 0.999977 0.006841 1.2e-05 -0.000344 -0.291632 -0.432702 1.83915
33 Kite_training/sunset/color_left/trajectory_1017/000136.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000136.PNG 0.999986 0.005267 1.4e-05 0.000852 -0.294943 -0.451403 1.862813
34 Kite_training/sunset/color_left/trajectory_1017/000140.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000140.PNG 0.999998 -0.000368 3.1e-05 0.001968 -0.298812 -0.493844 1.882103
35 Kite_training/sunset/color_left/trajectory_1017/000144.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000144.PNG 0.999987 -0.00453 6.7e-05 0.002169 -0.303768 -0.559132 1.89573
36 Kite_training/sunset/color_left/trajectory_1017/000148.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000148.PNG 0.999996 -0.00267 3.9e-05 0.000765 -0.309257 -0.629026 1.906127
37 Kite_training/sunset/color_left/trajectory_1017/000152.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000152.PNG 0.999983 0.005296 -8.2e-05 -0.002248 -0.312827 -0.681427 1.920344
38 Kite_training/sunset/color_left/trajectory_1017/000156.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000156.PNG 0.999884 0.014345 -0.000109 -0.005202 -0.312358 -0.701605 1.943597
39 Kite_training/sunset/color_left/trajectory_1017/000160.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000160.PNG 0.999869 0.015363 2.3e-05 -0.005085 -0.309608 -0.699057 1.971618
40 Kite_training/sunset/color_left/trajectory_1017/000164.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000164.PNG 0.999971 0.007388 1.4e-05 -0.0016 -0.309342 -0.704738 1.994302
41 Kite_training/sunset/color_left/trajectory_1017/000168.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000168.PNG 0.999967 -0.006915 -0.000144 0.004181 -0.314901 -0.745032 2.001789
42 Kite_training/sunset/color_left/trajectory_1017/000172.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000172.PNG 0.999867 -0.014685 -3.3e-05 0.007142 -0.326414 -0.804826 1.990348
43 Kite_training/sunset/color_left/trajectory_1017/000176.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000176.PNG 0.999911 -0.012047 0.000165 0.005733 -0.340013 -0.847438 1.970908
44 Kite_training/sunset/color_left/trajectory_1017/000180.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000180.PNG 0.999995 -0.002796 0.000106 0.001587 -0.348826 -0.848535 1.961664
45 Kite_training/sunset/color_left/trajectory_1017/000184.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000184.PNG 0.999996 0.002583 -1e-05 -0.000737 -0.350371 -0.822494 1.968701
46 Kite_training/sunset/color_left/trajectory_1017/000188.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000188.PNG 0.999997 0.002295 -6e-05 -0.000453 -0.348616 -0.789568 1.983167
47 Kite_training/sunset/color_left/trajectory_1017/000192.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000192.PNG 0.999994 -0.002836 -5.1e-05 0.002155 -0.347915 -0.768187 1.995914
48 Kite_training/sunset/color_left/trajectory_1017/000196.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000196.PNG 0.999967 -0.006486 3.7e-05 0.00491 -0.349915 -0.76102 2.002188
49 Kite_training/sunset/color_left/trajectory_1017/000200.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000200.PNG 0.999961 -0.005716 0.000155 0.006804 -0.353947 -0.755225 2.005862
50 Kite_training/sunset/color_left/trajectory_1017/000204.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000204.PNG 0.999969 -0.001026 0.000156 0.007811 -0.358186 -0.735317 2.013857
51 Kite_training/sunset/color_left/trajectory_1017/000208.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000208.PNG 0.999964 0.003373 8.3e-05 0.00777 -0.359145 -0.69844 2.028808
52 Kite_training/sunset/color_left/trajectory_1017/000212.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000212.PNG 0.999963 0.005428 9.9e-05 0.006601 -0.354399 -0.65233 2.047815
53 Kite_training/sunset/color_left/trajectory_1017/000216.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000216.PNG 0.999976 0.005382 0.000275 0.004429 -0.34346 -0.607466 2.06685
54 Kite_training/sunset/color_left/trajectory_1017/000220.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000220.PNG 0.999985 0.005056 0.000298 0.002189 -0.328859 -0.574602 2.081978
55 Kite_training/sunset/color_left/trajectory_1017/000224.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000224.PNG 0.999986 0.005247 -5e-06 0.000301 -0.311596 -0.555527 2.092803
56 Kite_training/sunset/color_left/trajectory_1017/000228.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000228.PNG 0.999981 0.00596 -0.00062 -0.001195 -0.290993 -0.547657 2.100437
57 Kite_training/sunset/color_left/trajectory_1017/000232.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000232.PNG 0.999973 0.007217 -0.000788 -0.00119 -0.26554 -0.544772 2.105622
58 Kite_training/sunset/color_left/trajectory_1017/000236.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000236.PNG 0.999958 0.009033 0.000429 0.00166 -0.237893 -0.539126 2.108435
59 Kite_training/sunset/color_left/trajectory_1017/000240.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000240.PNG 0.999905 0.011352 0.003019 0.007155 -0.216744 -0.527125 2.108705
60 Kite_training/sunset/color_left/trajectory_1017/000244.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000244.PNG 0.999827 0.012737 0.006821 0.011735 -0.207238 -0.508721 2.104659
61 Kite_training/sunset/color_left/trajectory_1017/000248.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000248.PNG 0.999781 0.012004 0.011871 0.012405 -0.210514 -0.491376 2.093838
62 Kite_training/sunset/color_left/trajectory_1017/000252.JPEG Kite_training/sunset/stereo_disparity/trajectory_1017/000252.PNG 0.999747 0.009185 0.01836 0.009159 -0.227814 -0.486372 2.074395
