id camera_l disp qw qx qy qz tx ty tz
0 PLE_training/fall/color_left/trajectory_4010/000004.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000004.PNG 0.998845 -0.004619 -0.027217 -0.039317 -0.277563 0.446605 1.07891
1 PLE_training/fall/color_left/trajectory_4010/000008.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000008.PNG 0.998741 -0.003817 -0.037897 -0.03265 -0.247192 0.414672 1.116
2 PLE_training/fall/color_left/trajectory_4010/000012.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000012.PNG 0.998427 -0.001861 -0.048192 -0.0286 -0.201638 0.383913 1.154501
3 PLE_training/fall/color_left/trajectory_4010/000016.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000016.PNG 0.997997 0.000984 -0.057325 -0.026721 -0.13961 0.353241 1.191757
4 PLE_training/fall/color_left/trajectory_4010/000020.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000020.PNG 0.99779 0.004127 -0.061572 -0.024624 -0.054921 0.320655 1.219225
5 PLE_training/fall/color_left/trajectory_4010/000024.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000024.PNG 0.99796 0.006854 -0.059787 -0.021324 0.043519 0.285992 1.233863
6 PLE_training/fall/color_left/trajectory_4010/000028.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000028.PNG 0.998455 0.008709 -0.052262 -0.016738 0.140752 0.24736 1.239366
7 PLE_training/fall/color_left/trajectory_4010/000032.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000032.PNG 0.998913 0.009644 -0.043591 -0.013425 0.220562 0.207696 1.240416
8 PLE_training/fall/color_left/trajectory_4010/000036.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000036.PNG 0.999114 0.010064 -0.038354 -0.014125 0.275561 0.170731 1.239966
9 PLE_training/fall/color_left/trajectory_4010/000040.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000040.PNG 0.999094 0.01039 -0.036643 -0.018971 0.311273 0.136293 1.239565
10 PLE_training/fall/color_left/trajectory_4010/000044.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000044.PNG 0.998985 0.011041 -0.036117 -0.024553 0.335122 0.105177 1.237419
11 PLE_training/fall/color_left/trajectory_4010/000048.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000048.PNG 0.99903 0.011975 -0.0335 -0.025944 0.350214 0.076421 1.232613
12 PLE_training/fall/color_left/trajectory_4010/000052.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000052.PNG 0.999251 0.012649 -0.02863 -0.022747 0.352528 0.045801 1.229288
13 PLE_training/fall/color_left/trajectory_4010/000056.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000056.PNG 0.999533 0.012333 -0.022334 -0.016819 0.338213 0.010827 1.231059
14 PLE_training/fall/color_left/trajectory_4010/000060.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000060.PNG 0.999741 0.010322 -0.016235 -0.012195 0.304804 -0.026708 1.238349
15 PLE_training/fall/color_left/trajectory_4010/000064.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000064.PNG 0.999877 0.006724 -0.01055 -0.009443 0.250629 -0.069033 1.249789
16 PLE_training/fall/color_left/trajectory_4010/000068.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000068.PNG 0.999958 0.002098 -0.005501 -0.006999 0.176906 -0.119645 1.263868
17 PLE_training/fall/color_left/trajectory_4010/000072.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000072.PNG 0.999992 -0.001185 -0.002127 0.003289 0.094439 -0.184449 1.282687
18 PLE_training/fall/color_left/trajectory_4010/000076.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000076.PNG 0.999707 -0.002265 -0.000619 0.024075 0.005678 -0.260408 1.304315
19 PLE_training/fall/color_left/trajectory_4010/000080.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000080.PNG 0.998541 -0.001335 -0.000731 0.053974 -0.094392 -0.3337 1.327123
20 PLE_training/fall/color_left/trajectory_4010/000084.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000084.PNG 0.997078 -0.000184 0.000923 0.07638 -0.191085 -0.374576 1.350676
21 PLE_training/fall/color_left/trajectory_4010/000088.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000088.PNG 0.996758 0.001552 0.006798 0.080154 -0.266966 -0.374513 1.373648
22 PLE_training/fall/color_left/trajectory_4010/000092.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000092.PNG 0.997612 0.005595 0.015762 0.067014 -0.316279 -0.352214 1.392925
23 PLE_training/fall/color_left/trajectory_4010/000096.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000096.PNG 0.998347 0.010704 0.020558 0.052593 -0.354439 -0.320353 1.402955
24 PLE_training/fall/color_left/trajectory_4010/000100.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000100.PNG 0.998744 0.014119 0.018301 0.044455 -0.37792 -0.281071 1.406063
25 PLE_training/fall/color_left/trajectory_4010/000104.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000104.PNG 0.998954 0.01434 0.009882 0.042271 -0.370428 -0.24045 1.409012
26 PLE_training/fall/color_left/trajectory_4010/000108.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000108.PNG 0.999333 0.012266 0.002488 0.034299 -0.316535 -0.21011 1.414968
27 PLE_training/fall/color_left/trajectory_4010/000112.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000112.PNG 0.999893 0.010486 0.0021 0.009968 -0.21682 -0.206636 1.419789
28 PLE_training/fall/color_left/trajectory_4010/000116.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000116.PNG 0.99946 0.009424 0.008384 -0.030346 -0.087289 -0.23225 1.419138
29 PLE_training/fall/color_left/trajectory_4010/000120.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000120.PNG 0.997582 0.003909 0.010439 -0.068597 0.02335 -0.255042 1.420012
30 PLE_training/fall/color_left/trajectory_4010/000124.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000124.PNG 0.995987 -0.006102 -0.0035 -0.089219 0.092915 -0.259586 1.426239
31 PLE_training/fall/color_left/trajectory_4010/000128.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000128.PNG 0.99501 -0.01181 -0.035689 -0.092423 0.154545 -0.265875 1.426825
32 PLE_training/fall/color_left/trajectory_4010/000132.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000132.PNG 0.993743 -0.005666 -0.073618 -0.083809 0.263139 -0.276062 1.401673
33 PLE_training/fall/color_left/trajectory_4010/000136.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000136.PNG 0.993225 0.006518 -0.089787 -0.073478 0.446936 -0.25584 1.329852
34 PLE_training/fall/color_left/trajectory_4010/000140.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000140.PNG 0.99471 0.013363 -0.081673 -0.06085 0.631173 -0.196833 1.226967
35 PLE_training/fall/color_left/trajectory_4010/000144.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000144.PNG 0.997157 0.011014 -0.059268 -0.045214 0.752853 -0.132948 1.133526
36 PLE_training/fall/color_left/trajectory_4010/000148.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000148.PNG 0.998744 0.005895 -0.039768 -0.029896 0.794042 -0.098812 1.076464
37 PLE_training/fall/color_left/trajectory_4010/000152.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000152.PNG 0.999565 0.001181 -0.024741 -0.016004 0.773612 -0.105755 1.057396
38 PLE_training/fall/color_left/trajectory_4010/000156.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000156.PNG 0.999898 -0.001704 -0.013567 -0.004242 0.706485 -0.150458 1.069102
39 PLE_training/fall/color_left/trajectory_4010/000160.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000160.PNG 0.999973 -0.00249 -0.00584 0.003824 0.612205 -0.219321 1.104638
40 PLE_training/fall/color_left/trajectory_4010/000164.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000164.PNG 0.999971 -0.001138 -0.001456 0.007346 0.501134 -0.296173 1.155558
41 PLE_training/fall/color_left/trajectory_4010/000168.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000168.PNG 0.999976 0.002105 -0.000307 0.006572 0.379198 -0.367309 1.214768
42 PLE_training/fall/color_left/trajectory_4010/000172.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000172.PNG 0.999972 0.004804 -0.000583 0.005649 0.255883 -0.425488 1.275032
43 PLE_training/fall/color_left/trajectory_4010/000176.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000176.PNG 0.999959 0.00553 -0.001119 0.007073 0.135311 -0.47334 1.332978
44 PLE_training/fall/color_left/trajectory_4010/000180.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000180.PNG 0.999929 0.004428 -0.001767 0.010908 0.016679 -0.516601 1.387608
45 PLE_training/fall/color_left/trajectory_4010/000184.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000184.PNG 0.999826 0.004455 -0.00151 0.01804 -0.09529 -0.562727 1.438805
46 PLE_training/fall/color_left/trajectory_4010/000188.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000188.PNG 0.99954 0.00815 0.000101 0.029212 -0.202638 -0.608588 1.488694
47 PLE_training/fall/color_left/trajectory_4010/000192.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000192.PNG 0.99889 0.015806 0.002179 0.044326 -0.316976 -0.637018 1.540734
48 PLE_training/fall/color_left/trajectory_4010/000196.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000196.PNG 0.998174 0.02358 0.002561 0.055553 -0.441251 -0.613421 1.593692
49 PLE_training/fall/color_left/trajectory_4010/000200.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000200.PNG 0.998397 0.024852 0.00096 0.050846 -0.549355 -0.517203 1.6382
50 PLE_training/fall/color_left/trajectory_4010/000204.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000204.PNG 0.999362 0.019188 5.7e-05 0.030118 -0.607461 -0.39218 1.665615
51 PLE_training/fall/color_left/trajectory_4010/000208.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000208.PNG 0.999914 0.01114 0.000159 0.006933 -0.626369 -0.289567 1.676964
52 PLE_training/fall/color_left/trajectory_4010/000212.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000212.PNG 0.999951 0.003773 -0.000269 -0.009101 -0.63083 -0.22208 1.676816
53 PLE_training/fall/color_left/trajectory_4010/000216.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000216.PNG 0.999836 -0.0028 -0.00206 -0.01775 -0.629315 -0.179361 1.668201
54 PLE_training/fall/color_left/trajectory_4010/000220.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000220.PNG 0.999749 -0.007653 -0.005468 -0.020348 -0.625616 -0.155307 1.657531
55 PLE_training/fall/color_left/trajectory_4010/000224.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000224.PNG 0.999714 -0.009061 -0.01019 -0.019651 -0.621201 -0.149297 1.654693
56 PLE_training/fall/color_left/trajectory_4010/000228.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000228.PNG 0.999724 -0.006793 -0.01576 -0.016057 -0.612663 -0.148275 1.663756
57 PLE_training/fall/color_left/trajectory_4010/000232.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000232.PNG 0.999722 -0.001922 -0.020958 -0.010614 -0.595048 -0.13656 1.685618
58 PLE_training/fall/color_left/trajectory_4010/000236.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000236.PNG 0.999717 0.001937 -0.022639 -0.007059 -0.561724 -0.100414 1.714645
59 PLE_training/fall/color_left/trajectory_4010/000240.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000240.PNG 0.999768 0.003938 -0.020251 -0.006163 -0.521629 -0.044302 1.744196
60 PLE_training/fall/color_left/trajectory_4010/000244.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000244.PNG 0.999857 0.004312 -0.014713 -0.007111 -0.489001 0.022036 1.769168
61 PLE_training/fall/color_left/trajectory_4010/000248.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000248.PNG 0.999925 0.003907 -0.009535 -0.006547 -0.478534 0.08843 1.78701
62 PLE_training/fall/color_left/trajectory_4010/000252.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000252.PNG 0.999973 0.002937 -0.005616 -0.003641 -0.490215 0.152554 1.798651
63 PLE_training/fall/color_left/trajectory_4010/000256.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000256.PNG 0.999994 0.001716 -0.00293 0.001169 -0.518129 0.213892 1.805588
64 PLE_training/fall/color_left/trajectory_4010/000260.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000260.PNG 0.999982 0.001645 -0.00126 0.005671 -0.553196 0.270919 1.809523
65 PLE_training/fall/color_left/trajectory_4010/000264.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000264.PNG 0.999953 0.003166 -0.000574 0.009182 -0.589605 0.327504 1.810867
66 PLE_training/fall/color_left/trajectory_4010/000268.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000268.PNG 0.999912 0.006144 -0.000925 0.011704 -0.623048 0.388864 1.809133
67 PLE_training/fall/color_left/trajectory_4010/000272.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000272.PNG 0.999876 0.008679 -0.001648 0.013014 -0.646726 0.454629 1.801814
68 PLE_training/fall/color_left/trajectory_4010/000276.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000276.PNG 0.999872 0.009234 -0.002007 0.012883 -0.657896 0.51715 1.787692
69 PLE_training/fall/color_left/trajectory_4010/000280.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000280.PNG 0.999903 0.007874 -0.001825 0.011333 -0.660077 0.566907 1.768547
70 PLE_training/fall/color_left/trajectory_4010/000284.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000284.PNG 0.999937 0.005744 -0.001359 0.009524 -0.658055 0.602006 1.747364
71 PLE_training/fall/color_left/trajectory_4010/000288.JPEG PLE_training/fall/stereo_disparity/trajectory_4010/000288.PNG 0.999957 0.003725 -0.000914 0.008411 -0.653884 0.625058 1.725785
