id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/fall/color_left/trajectory_4019/000004.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000004.PNG	0.999997	0.002398	-0.000033	-0.000091	0.188954	-1.118312	1.677208
1	PLE_training/fall/color_left/trajectory_4019/000008.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000008.PNG	0.999998	0.000168	-0.000001	-0.001860	0.206612	-1.109345	1.665340
2	PLE_training/fall/color_left/trajectory_4019/000012.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000012.PNG	0.999979	-0.004071	0.000022	-0.004966	0.226860	-1.105831	1.649723
3	PLE_training/fall/color_left/trajectory_4019/000016.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000016.PNG	0.999910	-0.009729	-0.000059	-0.009251	0.252523	-1.108358	1.625978
4	PLE_training/fall/color_left/trajectory_4019/000020.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000020.PNG	0.999817	-0.013287	-0.000177	-0.013739	0.284978	-1.090780	1.592514
5	PLE_training/fall/color_left/trajectory_4019/000024.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000024.PNG	0.999747	-0.013463	-0.000138	-0.018039	0.321426	-1.034254	1.557493
6	PLE_training/fall/color_left/trajectory_4019/000028.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000028.PNG	0.999703	-0.010423	0.000330	-0.022019	0.355450	-0.929059	1.532469
7	PLE_training/fall/color_left/trajectory_4019/000032.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000032.PNG	0.999694	-0.006742	0.000656	-0.023805	0.378803	-0.788605	1.523280
10	PLE_training/fall/color_left/trajectory_4019/000044.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000044.PNG	0.999928	-0.003534	-0.007241	-0.008947	0.340321	-0.325845	1.545929
11	PLE_training/fall/color_left/trajectory_4019/000048.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000048.PNG	0.999829	-0.001606	-0.017814	-0.004756	0.307961	-0.182747	1.556695
12	PLE_training/fall/color_left/trajectory_4019/000052.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000052.PNG	0.999422	0.001700	-0.033751	-0.003615	0.297696	-0.040128	1.563816
13	PLE_training/fall/color_left/trajectory_4019/000056.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000056.PNG	0.998733	0.005011	-0.049860	-0.004679	0.335452	0.113288	1.560790
14	PLE_training/fall/color_left/trajectory_4019/000060.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000060.PNG	0.998190	0.006857	-0.059390	-0.006548	0.428242	0.284619	1.539738
15	PLE_training/fall/color_left/trajectory_4019/000064.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000064.PNG	0.998014	0.007448	-0.061909	-0.008892	0.551977	0.470442	1.497513
16	PLE_training/fall/color_left/trajectory_4019/000068.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000068.PNG	0.998176	0.007477	-0.058913	-0.010870	0.677298	0.653734	1.436874
17	PLE_training/fall/color_left/trajectory_4019/000072.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000072.PNG	0.998492	0.007708	-0.053185	-0.011198	0.780834	0.806759	1.366613
20	PLE_training/fall/color_left/trajectory_4019/000084.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000084.PNG	0.999613	0.007627	-0.026343	-0.004641	0.938523	1.059473	1.190052
21	PLE_training/fall/color_left/trajectory_4019/000088.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000088.PNG	0.999802	0.006071	-0.018657	-0.003288	0.946184	1.083864	1.160267
22	PLE_training/fall/color_left/trajectory_4019/000092.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000092.PNG	0.999911	0.004025	-0.012480	-0.002624	0.936583	1.083452	1.148149
23	PLE_training/fall/color_left/trajectory_4019/000096.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000096.PNG	0.999958	0.002638	-0.008553	-0.001851	0.912577	1.069513	1.152471
24	PLE_training/fall/color_left/trajectory_4019/000100.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000100.PNG	0.999973	0.002106	-0.007017	-0.000794	0.879499	1.045331	1.166936
25	PLE_training/fall/color_left/trajectory_4019/000104.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000104.PNG	0.999969	0.002313	-0.007516	0.000499	0.843695	1.013258	1.184869
26	PLE_training/fall/color_left/trajectory_4019/000108.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000108.PNG	0.999969	0.002477	-0.007382	0.001507	0.814163	0.980594	1.201374
27	PLE_training/fall/color_left/trajectory_4019/000112.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000112.PNG	0.999981	0.002282	-0.005407	0.001982	0.790392	0.950505	1.217671
30	PLE_training/fall/color_left/trajectory_4019/000124.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000124.PNG	0.999998	0.001257	-0.001676	-0.000518	0.689684	0.875511	1.290283
31	PLE_training/fall/color_left/trajectory_4019/000128.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000128.PNG	0.999976	0.001323	-0.006263	-0.002777	0.645240	0.857712	1.315669
32	PLE_training/fall/color_left/trajectory_4019/000132.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000132.PNG	0.999934	0.001531	-0.010572	-0.004116	0.609122	0.844804	1.334448
33	PLE_training/fall/color_left/trajectory_4019/000136.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000136.PNG	0.999925	0.001745	-0.011694	-0.003161	0.584952	0.835208	1.347505
34	PLE_training/fall/color_left/trajectory_4019/000140.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000140.PNG	0.999952	0.001881	-0.009613	0.000086	0.568314	0.826234	1.359164
35	PLE_training/fall/color_left/trajectory_4019/000144.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000144.PNG	0.999971	0.001760	-0.006243	0.003983	0.554406	0.816375	1.373334
36	PLE_training/fall/color_left/trajectory_4019/000148.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000148.PNG	0.999970	0.001223	-0.003676	0.006707	0.540590	0.805787	1.391517
37	PLE_training/fall/color_left/trajectory_4019/000152.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000152.PNG	0.999965	0.000274	-0.001996	0.008163	0.526699	0.795029	1.412948
40	PLE_training/fall/color_left/trajectory_4019/000164.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000164.PNG	0.999981	-0.001219	-0.000265	0.006049	0.489250	0.761786	1.492457
41	PLE_training/fall/color_left/trajectory_4019/000168.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000168.PNG	0.999992	-0.000715	-0.000298	0.003830	0.477529	0.754623	1.520685
42	PLE_training/fall/color_left/trajectory_4019/000172.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000172.PNG	0.999998	-0.000163	-0.000147	0.001975	0.464228	0.750532	1.547864
43	PLE_training/fall/color_left/trajectory_4019/000176.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000176.PNG	1.000000	0.000394	0.000245	0.000601	0.449181	0.748988	1.574075
44	PLE_training/fall/color_left/trajectory_4019/000180.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000180.PNG	0.999999	0.000865	0.000609	-0.000412	0.431594	0.748948	1.599347
45	PLE_training/fall/color_left/trajectory_4019/000184.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000184.PNG	0.999999	0.001004	0.000186	-0.001386	0.410037	0.748267	1.623304
46	PLE_training/fall/color_left/trajectory_4019/000188.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000188.PNG	0.999996	0.000779	-0.001156	-0.002372	0.386783	0.745500	1.645724
47	PLE_training/fall/color_left/trajectory_4019/000192.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000192.PNG	0.999988	0.000344	-0.003473	-0.003403	0.364765	0.739662	1.666571
50	PLE_training/fall/color_left/trajectory_4019/000204.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000204.PNG	0.999805	0.002970	-0.017858	-0.007920	0.335616	0.718509	1.712972
51	PLE_training/fall/color_left/trajectory_4019/000208.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000208.PNG	0.999657	0.004433	-0.024127	-0.009184	0.350981	0.712730	1.715496
52	PLE_training/fall/color_left/trajectory_4019/000212.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000212.PNG	0.999477	0.005366	-0.030350	-0.009770	0.382762	0.703791	1.708753
53	PLE_training/fall/color_left/trajectory_4019/000216.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000216.PNG	0.999275	0.005772	-0.036333	-0.009751	0.431996	0.689956	1.692764
54	PLE_training/fall/color_left/trajectory_4019/000220.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000220.PNG	0.999147	0.006108	-0.039713	-0.009570	0.500634	0.673869	1.666178
55	PLE_training/fall/color_left/trajectory_4019/000224.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000224.PNG	0.999173	0.006641	-0.038987	-0.009470	0.580382	0.658129	1.629895
56	PLE_training/fall/color_left/trajectory_4019/000228.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000228.PNG	0.999334	0.007305	-0.034494	-0.009396	0.656287	0.643272	1.588674
57	PLE_training/fall/color_left/trajectory_4019/000232.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000232.PNG	0.999467	0.007683	-0.030388	-0.009096	0.712321	0.629969	1.548339
60	PLE_training/fall/color_left/trajectory_4019/000244.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000244.PNG	0.999442	0.006178	-0.032289	-0.005957	0.802194	0.583368	1.431383
61	PLE_training/fall/color_left/trajectory_4019/000248.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000248.PNG	0.999561	0.005397	-0.028830	-0.004063	0.837829	0.563588	1.388362
62	PLE_training/fall/color_left/trajectory_4019/000252.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000252.PNG	0.999773	0.004659	-0.020741	-0.001699	0.867657	0.541306	1.351459
63	PLE_training/fall/color_left/trajectory_4019/000256.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000256.PNG	0.999923	0.004275	-0.011626	-0.000324	0.877830	0.513417	1.329433
64	PLE_training/fall/color_left/trajectory_4019/000260.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000260.PNG	0.999973	0.004548	-0.005590	-0.001631	0.862586	0.480039	1.323907
65	PLE_training/fall/color_left/trajectory_4019/000264.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000264.PNG	0.999965	0.005457	-0.002821	-0.005673	0.827480	0.447477	1.328054
66	PLE_training/fall/color_left/trajectory_4019/000268.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000268.PNG	0.999926	0.006347	-0.002233	-0.010111	0.777818	0.419373	1.334496
67	PLE_training/fall/color_left/trajectory_4019/000272.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000272.PNG	0.999918	0.006119	-0.002078	-0.011046	0.717887	0.391394	1.338819
70	PLE_training/fall/color_left/trajectory_4019/000284.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000284.PNG	0.999982	0.002695	-0.005322	-0.000192	0.527223	0.231346	1.346082
71	PLE_training/fall/color_left/trajectory_4019/000288.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000288.PNG	0.999952	0.004539	-0.008712	-0.000081	0.473857	0.158569	1.346351
72	PLE_training/fall/color_left/trajectory_4019/000292.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000292.PNG	0.999880	0.007851	-0.013175	-0.002135	0.428397	0.087351	1.342604
73	PLE_training/fall/color_left/trajectory_4019/000296.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000296.PNG	0.999773	0.010615	-0.017979	-0.004221	0.392376	0.014177	1.331787
74	PLE_training/fall/color_left/trajectory_4019/000300.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000300.PNG	0.999643	0.012393	-0.022940	-0.005847	0.366990	-0.065459	1.315779
75	PLE_training/fall/color_left/trajectory_4019/000304.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000304.PNG	0.999504	0.013170	-0.027782	-0.006817	0.353485	-0.153142	1.296815
76	PLE_training/fall/color_left/trajectory_4019/000308.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000308.PNG	0.999421	0.012634	-0.031012	-0.005974	0.352977	-0.240858	1.274108
77	PLE_training/fall/color_left/trajectory_4019/000312.JPEG	PLE_training/fall/stereo_disparity/trajectory_4019/000312.PNG	0.999421	0.010510	-0.032210	-0.003038	0.359807	-0.329765	1.248083
