id camera_l disp qw qx qy qz tx ty tz
0 PLE_training/spring/color_left/trajectory_5017/000004.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000004.PNG 0.998712 0.011127 0.048977 -0.007263 -0.202267 -0.034013 1.038583
1 PLE_training/spring/color_left/trajectory_5017/000008.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000008.PNG 0.998979 0.006327 0.043469 -0.010568 -0.25304 -0.075727 1.013357
2 PLE_training/spring/color_left/trajectory_5017/000012.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000012.PNG 0.999318 -0.000656 0.03459 -0.012928 -0.296157 -0.114369 0.990235
3 PLE_training/spring/color_left/trajectory_5017/000016.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000016.PNG 0.999602 -0.008921 0.022579 -0.014363 -0.325253 -0.153165 0.970171
4 PLE_training/spring/color_left/trajectory_5017/000020.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000020.PNG 0.999741 -0.014167 0.011938 -0.013217 -0.33287 -0.189463 0.960762
5 PLE_training/spring/color_left/trajectory_5017/000024.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000024.PNG 0.999844 -0.014521 0.005531 -0.008343 -0.323597 -0.213561 0.965324
6 PLE_training/spring/color_left/trajectory_5017/000028.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000028.PNG 0.999937 -0.010608 0.003631 0.000242 -0.308568 -0.215644 0.983329
7 PLE_training/spring/color_left/trajectory_5017/000032.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000032.PNG 0.999943 -0.00569 0.004683 0.007774 -0.291961 -0.198591 1.009792
8 PLE_training/spring/color_left/trajectory_5017/000036.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000036.PNG 0.999912 -0.00184 0.007445 0.010841 -0.273699 -0.169901 1.039617
9 PLE_training/spring/color_left/trajectory_5017/000040.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000040.PNG 0.999885 0.000959 0.011722 0.009535 -0.255162 -0.134515 1.070715
10 PLE_training/spring/color_left/trajectory_5017/000044.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000044.PNG 0.999856 0.002695 0.015386 0.006572 -0.242482 -0.095778 1.100243
11 PLE_training/spring/color_left/trajectory_5017/000048.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000048.PNG 0.999847 0.003281 0.016668 0.004236 -0.238182 -0.055349 1.127005
12 PLE_training/spring/color_left/trajectory_5017/000052.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000052.PNG 0.999872 0.002707 0.015551 0.002593 -0.238029 -0.014954 1.152029
13 PLE_training/spring/color_left/trajectory_5017/000056.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000056.PNG 0.999915 0.001732 0.012937 0.000538 -0.237188 0.023829 1.177079
14 PLE_training/spring/color_left/trajectory_5017/000060.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000060.PNG 0.999943 0.001323 0.010003 -0.003402 -0.23253 0.060662 1.203615
15 PLE_training/spring/color_left/trajectory_5017/000064.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000064.PNG 0.999932 0.001569 0.006847 -0.009333 -0.22365 0.096214 1.23168
16 PLE_training/spring/color_left/trajectory_5017/000068.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000068.PNG 0.999869 0.002404 0.003801 -0.015534 -0.212719 0.12751 1.260512
17 PLE_training/spring/color_left/trajectory_5017/000072.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000072.PNG 0.999836 0.003515 0.001639 -0.017663 -0.2049 0.145827 1.288311
18 PLE_training/spring/color_left/trajectory_5017/000076.JPEG PLE_training/spring/stereo_disparity/trajectory_5017/000076.PNG 0.999875 0.004798 0.000472 -0.015043 -0.200845 0.151813 1.31415
