id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/winter/color_left/trajectory_6005/000004.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000004.PNG	0.999998	-0.000379	-0.000239	0.001683	-0.273260	-0.080942	1.127015
1	PLE_training/winter/color_left/trajectory_6005/000008.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000008.PNG	0.999999	0.000356	-0.000037	0.001226	-0.273351	-0.075844	1.166732
2	PLE_training/winter/color_left/trajectory_6005/000012.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000012.PNG	0.999996	0.001214	0.000333	0.002599	-0.272611	-0.071490	1.206122
3	PLE_training/winter/color_left/trajectory_6005/000016.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000016.PNG	0.999982	0.002152	0.000838	0.005497	-0.271601	-0.066310	1.244972
4	PLE_training/winter/color_left/trajectory_6005/000020.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000020.PNG	0.999967	0.002798	0.001297	0.007497	-0.269500	-0.058299	1.282266
5	PLE_training/winter/color_left/trajectory_6005/000024.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000024.PNG	0.999967	0.002969	0.001642	0.007436	-0.265415	-0.048260	1.317542
6	PLE_training/winter/color_left/trajectory_6005/000028.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000028.PNG	0.999980	0.002666	0.001862	0.005436	-0.259027	-0.038526	1.350837
7	PLE_training/winter/color_left/trajectory_6005/000032.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000032.PNG	0.999993	0.002018	0.001565	0.002797	-0.251494	-0.030431	1.382136
10	PLE_training/winter/color_left/trajectory_6005/000044.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000044.PNG	0.999995	-0.000629	-0.001485	-0.002819	-0.210161	-0.024781	1.467590
11	PLE_training/winter/color_left/trajectory_6005/000048.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000048.PNG	0.999998	-0.000271	0.000834	-0.001513	-0.188488	-0.031827	1.494857
12	PLE_training/winter/color_left/trajectory_6005/000052.JPEG	PLE_training/winter/stereo_disparity/trajectory_6005/000052.PNG	0.999981	0.001004	0.005772	0.001894	-0.172341	-0.039183	1.520673
