id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/cloudy/color_left/trajectory_3014/000004.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000004.PNG	1.000000	-0.000113	0.000205	0.000361	-0.042254	-0.337792	1.030301
1	Kite_training/cloudy/color_left/trajectory_3014/000008.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000008.PNG	1.000000	-0.000133	0.000406	0.000159	-0.031277	-0.320558	1.028761
2	Kite_training/cloudy/color_left/trajectory_3014/000012.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000012.PNG	1.000000	0.000136	0.000691	-0.000121	-0.020294	-0.301535	1.027020
3	Kite_training/cloudy/color_left/trajectory_3014/000016.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000016.PNG	0.999999	0.000538	0.001011	-0.000444	-0.009575	-0.280741	1.025288
4	Kite_training/cloudy/color_left/trajectory_3014/000020.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000020.PNG	0.999999	0.000291	0.001119	-0.000632	0.000179	-0.261012	1.023785
5	Kite_training/cloudy/color_left/trajectory_3014/000024.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000024.PNG	0.999999	-0.000847	0.000935	-0.000627	0.009112	-0.244638	1.022222
6	Kite_training/cloudy/color_left/trajectory_3014/000028.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000028.PNG	0.999996	-0.002603	0.000527	-0.000395	0.017861	-0.232950	1.020337
7	Kite_training/cloudy/color_left/trajectory_3014/000032.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000032.PNG	0.999995	-0.003254	0.000338	0.000300	0.027647	-0.224152	1.018805
8	Kite_training/cloudy/color_left/trajectory_3014/000036.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000036.PNG	0.999996	-0.002131	0.000544	0.001552	0.038170	-0.214860	1.018597
9	Kite_training/cloudy/color_left/trajectory_3014/000040.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000040.PNG	0.999994	0.000588	0.001103	0.003294	0.048531	-0.201630	1.020421
10	Kite_training/cloudy/color_left/trajectory_3014/000044.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000044.PNG	0.999984	0.002740	0.001715	0.004657	0.058848	-0.181918	1.023229
11	Kite_training/cloudy/color_left/trajectory_3014/000048.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000048.PNG	0.999980	0.002909	0.002226	0.005078	0.069958	-0.157321	1.025529
12	Kite_training/cloudy/color_left/trajectory_3014/000052.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000052.PNG	0.999985	0.001185	0.002697	0.004587	0.082524	-0.131901	1.026599
13	Kite_training/cloudy/color_left/trajectory_3014/000056.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000056.PNG	0.999988	-0.000585	0.003227	0.003654	0.096390	-0.109372	1.026875
14	Kite_training/cloudy/color_left/trajectory_3014/000060.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000060.PNG	0.999989	-0.000933	0.003838	0.002643	0.111029	-0.089637	1.027287
15	Kite_training/cloudy/color_left/trajectory_3014/000064.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000064.PNG	0.999989	0.000131	0.004488	0.001566	0.126125	-0.069722	1.028355
16	Kite_training/cloudy/color_left/trajectory_3014/000068.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000068.PNG	0.999988	0.001167	0.004775	0.000701	0.140675	-0.047734	1.029989
17	Kite_training/cloudy/color_left/trajectory_3014/000072.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000072.PNG	0.999991	0.000569	0.004260	0.000372	0.154378	-0.024935	1.031609
18	Kite_training/cloudy/color_left/trajectory_3014/000076.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000076.PNG	0.999994	-0.001722	0.002935	0.000599	0.168732	-0.004881	1.032843
19	Kite_training/cloudy/color_left/trajectory_3014/000080.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3014/000080.PNG	0.999989	-0.004299	0.001361	0.000980	0.185938	0.007426	1.034490
