id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/sunset/color_left/trajectory_1020/000004.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000004.PNG	0.999988	-0.003998	0.000747	-0.002879	-0.393132	0.053261	2.150868
1	Kite_training/sunset/color_left/trajectory_1020/000008.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000008.PNG	0.999997	-0.001641	0.000258	-0.001839	-0.383934	0.015574	2.177079
2	Kite_training/sunset/color_left/trajectory_1020/000012.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000012.PNG	0.999995	0.003130	0.000011	-0.000681	-0.373828	-0.016957	2.203405
3	Kite_training/sunset/color_left/trajectory_1020/000016.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000016.PNG	0.999954	0.009576	0.000105	0.000662	-0.363462	-0.034042	2.229125
4	Kite_training/sunset/color_left/trajectory_1020/000020.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000020.PNG	0.999911	0.013054	0.001228	0.002583	-0.351125	-0.032923	2.248693
5	Kite_training/sunset/color_left/trajectory_1020/000024.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000024.PNG	0.999910	0.011782	0.003675	0.005173	-0.340365	-0.028571	2.259972
6	Kite_training/sunset/color_left/trajectory_1020/000028.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000028.PNG	0.999920	0.006267	0.007353	0.008156	-0.337818	-0.040260	2.263737
7	Kite_training/sunset/color_left/trajectory_1020/000032.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000032.PNG	0.999899	0.000628	0.010612	0.009385	-0.350834	-0.066412	2.263886
8	Kite_training/sunset/color_left/trajectory_1020/000036.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000036.PNG	0.999888	-0.003042	0.012464	0.007756	-0.377910	-0.097542	2.261514
9	Kite_training/sunset/color_left/trajectory_1020/000040.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000040.PNG	0.999901	-0.004865	0.012792	0.003290	-0.411557	-0.126908	2.256794
10	Kite_training/sunset/color_left/trajectory_1020/000044.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000044.PNG	0.999915	-0.005203	0.011765	-0.002247	-0.446362	-0.157129	2.252166
11	Kite_training/sunset/color_left/trajectory_1020/000048.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000048.PNG	0.999921	-0.004359	0.009706	-0.006645	-0.479139	-0.193372	2.250380
12	Kite_training/sunset/color_left/trajectory_1020/000052.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000052.PNG	0.999927	-0.002240	0.006725	-0.009801	-0.505232	-0.230464	2.253003
13	Kite_training/sunset/color_left/trajectory_1020/000056.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000056.PNG	0.999933	0.000563	0.003406	-0.011005	-0.520062	-0.262678	2.261044
14	Kite_training/sunset/color_left/trajectory_1020/000060.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000060.PNG	0.999965	0.001947	0.001130	-0.008108	-0.521348	-0.287577	2.273056
15	Kite_training/sunset/color_left/trajectory_1020/000064.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000064.PNG	0.999999	0.001431	0.000019	-0.000697	-0.515678	-0.307582	2.286961
16	Kite_training/sunset/color_left/trajectory_1020/000068.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000068.PNG	0.999944	-0.000822	-0.000026	0.010566	-0.510822	-0.326141	2.300578
17	Kite_training/sunset/color_left/trajectory_1020/000072.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000072.PNG	0.999824	-0.002322	0.000324	0.018640	-0.508247	-0.340538	2.312899
18	Kite_training/sunset/color_left/trajectory_1020/000076.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000076.PNG	0.999814	-0.001554	0.000477	0.019234	-0.504009	-0.347003	2.324724
19	Kite_training/sunset/color_left/trajectory_1020/000080.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000080.PNG	0.999908	0.000965	0.000249	0.013527	-0.492381	-0.344035	2.337586
20	Kite_training/sunset/color_left/trajectory_1020/000084.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000084.PNG	0.999965	0.002582	-0.000004	0.007996	-0.471006	-0.332445	2.351352
21	Kite_training/sunset/color_left/trajectory_1020/000088.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000088.PNG	0.999986	0.002462	-0.000020	0.004742	-0.441144	-0.316477	2.364764
22	Kite_training/sunset/color_left/trajectory_1020/000092.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000092.PNG	0.999993	0.000663	0.000253	0.003703	-0.405535	-0.301547	2.376449
23	Kite_training/sunset/color_left/trajectory_1020/000096.JPEG	Kite_training/sunset/stereo_disparity/trajectory_1020/000096.PNG	0.999994	-0.001411	0.000624	0.003054	-0.368450	-0.290873	2.386161
