id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/spring/color_left/trajectory_5014/000004.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000004.PNG	0.999929	0.000508	-0.011759	-0.001648	0.123612	-0.151533	0.983997
1	PLE_training/spring/color_left/trajectory_5014/000008.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000008.PNG	0.999900	0.001010	-0.013933	-0.002221	0.130373	-0.147028	1.008413
2	PLE_training/spring/color_left/trajectory_5014/000012.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000012.PNG	0.999870	0.002070	-0.015694	-0.002913	0.142356	-0.142916	1.031391
3	PLE_training/spring/color_left/trajectory_5014/000016.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000016.PNG	0.999844	0.003510	-0.016941	-0.003553	0.159055	-0.137719	1.052998
4	PLE_training/spring/color_left/trajectory_5014/000020.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000020.PNG	0.999843	0.004013	-0.016969	-0.003099	0.180222	-0.129182	1.072866
5	PLE_training/spring/color_left/trajectory_5014/000024.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000024.PNG	0.999875	0.002973	-0.015480	-0.001155	0.203229	-0.119008	1.090927
6	PLE_training/spring/color_left/trajectory_5014/000028.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000028.PNG	0.999919	0.000523	-0.012586	0.002004	0.224372	-0.111342	1.107758
7	PLE_training/spring/color_left/trajectory_5014/000032.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000032.PNG	0.999945	-0.001873	-0.009373	0.004377	0.241115	-0.111008	1.125484
8	PLE_training/spring/color_left/trajectory_5014/000036.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000036.PNG	0.999961	-0.003401	-0.006439	0.004939	0.253166	-0.118370	1.145168
9	PLE_training/spring/color_left/trajectory_5014/000040.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000040.PNG	0.999978	-0.004032	-0.003833	0.003736	0.261111	-0.130869	1.166822
10	PLE_training/spring/color_left/trajectory_5014/000044.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000044.PNG	0.999990	-0.003774	-0.001780	0.001592	0.264716	-0.145450	1.190520
11	PLE_training/spring/color_left/trajectory_5014/000048.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000048.PNG	0.999996	-0.002654	-0.000516	-0.000545	0.264075	-0.159266	1.216316
12	PLE_training/spring/color_left/trajectory_5014/000052.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000052.PNG	0.999996	-0.000704	-0.000038	-0.002637	0.260874	-0.170150	1.244086
13	PLE_training/spring/color_left/trajectory_5014/000056.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000056.PNG	0.999989	0.001344	-0.000444	-0.004372	0.255524	-0.175501	1.272777
14	PLE_training/spring/color_left/trajectory_5014/000060.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000060.PNG	0.999982	0.002352	-0.001935	-0.005235	0.247806	-0.174410	1.300471
15	PLE_training/spring/color_left/trajectory_5014/000064.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000064.PNG	0.999974	0.002266	-0.004537	-0.005176	0.240154	-0.169858	1.326167
16	PLE_training/spring/color_left/trajectory_5014/000068.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000068.PNG	0.999961	0.001671	-0.007440	-0.004563	0.236981	-0.165915	1.349159
17	PLE_training/spring/color_left/trajectory_5014/000072.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000072.PNG	0.999946	0.001249	-0.009607	-0.003870	0.241200	-0.165126	1.369367
18	PLE_training/spring/color_left/trajectory_5014/000076.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000076.PNG	0.999934	0.001019	-0.010965	-0.003135	0.251204	-0.167134	1.387218
19	PLE_training/spring/color_left/trajectory_5014/000080.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000080.PNG	0.999932	0.000937	-0.011355	-0.002394	0.265199	-0.170251	1.403301
20	PLE_training/spring/color_left/trajectory_5014/000084.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000084.PNG	0.999945	0.000919	-0.010312	-0.001750	0.281381	-0.170502	1.418586
21	PLE_training/spring/color_left/trajectory_5014/000088.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000088.PNG	0.999969	0.000954	-0.007751	-0.001222	0.295785	-0.167025	1.434018
22	PLE_training/spring/color_left/trajectory_5014/000092.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000092.PNG	0.999989	0.001181	-0.004379	-0.000874	0.303345	-0.160902	1.450387
23	PLE_training/spring/color_left/trajectory_5014/000096.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000096.PNG	0.999996	0.001944	-0.001976	-0.000864	0.300059	-0.154679	1.467726
24	PLE_training/spring/color_left/trajectory_5014/000100.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000100.PNG	0.999993	0.003295	-0.000817	-0.001215	0.288328	-0.147049	1.485437
25	PLE_training/spring/color_left/trajectory_5014/000104.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000104.PNG	0.999986	0.004973	-0.000868	-0.001868	0.271651	-0.135898	1.502451
26	PLE_training/spring/color_left/trajectory_5014/000108.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000108.PNG	0.999976	0.006059	-0.002032	-0.002629	0.253378	-0.119713	1.516867
27	PLE_training/spring/color_left/trajectory_5014/000112.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000112.PNG	0.999965	0.006368	-0.004294	-0.003425	0.236806	-0.100216	1.527654
28	PLE_training/spring/color_left/trajectory_5014/000116.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000116.PNG	0.999945	0.006003	-0.007547	-0.004177	0.225243	-0.080087	1.534238
29	PLE_training/spring/color_left/trajectory_5014/000120.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000120.PNG	0.999913	0.005445	-0.011077	-0.004608	0.221447	-0.062581	1.536456
30	PLE_training/spring/color_left/trajectory_5014/000124.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000124.PNG	0.999870	0.004861	-0.014626	-0.004636	0.226080	-0.048931	1.534457
31	PLE_training/spring/color_left/trajectory_5014/000128.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000128.PNG	0.999818	0.004224	-0.018093	-0.004283	0.239222	-0.039348	1.528419
32	PLE_training/spring/color_left/trajectory_5014/000132.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000132.PNG	0.999781	0.003342	-0.020359	-0.003539	0.262513	-0.032886	1.519195
33	PLE_training/spring/color_left/trajectory_5014/000136.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000136.PNG	0.999780	0.002067	-0.020741	-0.002413	0.293362	-0.029647	1.507716
34	PLE_training/spring/color_left/trajectory_5014/000140.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000140.PNG	0.999814	0.000385	-0.019263	-0.000932	0.325897	-0.031017	1.495013
35	PLE_training/spring/color_left/trajectory_5014/000144.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000144.PNG	0.999848	-0.000984	-0.017389	0.000291	0.353652	-0.038618	1.483135
36	PLE_training/spring/color_left/trajectory_5014/000148.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000148.PNG	0.999855	-0.001097	-0.016998	0.000455	0.374524	-0.051534	1.473453
37	PLE_training/spring/color_left/trajectory_5014/000152.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000152.PNG	0.999835	0.000074	-0.018155	-0.000435	0.393112	-0.065237	1.465033
38	PLE_training/spring/color_left/trajectory_5014/000156.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000156.PNG	0.999815	0.001221	-0.019148	-0.001178	0.415480	-0.074109	1.456143
39	PLE_training/spring/color_left/trajectory_5014/000160.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000160.PNG	0.999834	0.000948	-0.018162	-0.000522	0.442477	-0.077264	1.446246
40	PLE_training/spring/color_left/trajectory_5014/000164.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000164.PNG	0.999884	-0.000826	-0.015116	0.001550	0.468201	-0.080019	1.436903
41	PLE_training/spring/color_left/trajectory_5014/000168.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000168.PNG	0.999927	-0.002873	-0.011185	0.003569	0.486080	-0.089329	1.430725
42	PLE_training/spring/color_left/trajectory_5014/000172.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000172.PNG	0.999955	-0.003075	-0.008456	0.003005	0.492836	-0.108150	1.429836
43	PLE_training/spring/color_left/trajectory_5014/000176.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000176.PNG	0.999973	-0.001218	-0.007191	-0.000398	0.492361	-0.128888	1.433432
44	PLE_training/spring/color_left/trajectory_5014/000180.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000180.PNG	0.999956	0.002035	-0.007218	-0.005628	0.488842	-0.142206	1.439887
45	PLE_training/spring/color_left/trajectory_5014/000184.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000184.PNG	0.999922	0.004140	-0.007848	-0.008747	0.483266	-0.139710	1.446025
46	PLE_training/spring/color_left/trajectory_5014/000188.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000188.PNG	0.999911	0.004474	-0.008966	-0.008818	0.475791	-0.126420	1.450503
47	PLE_training/spring/color_left/trajectory_5014/000192.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000192.PNG	0.999920	0.003257	-0.010522	-0.006260	0.467313	-0.111036	1.452652
48	PLE_training/spring/color_left/trajectory_5014/000196.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000196.PNG	0.999924	0.001853	-0.011711	-0.003360	0.461576	-0.102465	1.452559
49	PLE_training/spring/color_left/trajectory_5014/000200.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000200.PNG	0.999925	0.000732	-0.012207	-0.000928	0.458666	-0.102000	1.450947
50	PLE_training/spring/color_left/trajectory_5014/000204.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000204.PNG	0.999928	-0.000126	-0.011972	0.001006	0.456794	-0.107861	1.448720
51	PLE_training/spring/color_left/trajectory_5014/000208.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000208.PNG	0.999939	-0.000931	-0.010798	0.002049	0.455433	-0.115206	1.447673
52	PLE_training/spring/color_left/trajectory_5014/000212.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000212.PNG	0.999960	-0.001786	-0.008554	0.001966	0.453075	-0.120798	1.449238
53	PLE_training/spring/color_left/trajectory_5014/000216.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000216.PNG	0.999982	-0.002638	-0.005294	0.000795	0.446910	-0.123824	1.454241
54	PLE_training/spring/color_left/trajectory_5014/000220.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000220.PNG	0.999992	-0.003005	-0.002335	-0.000905	0.432062	-0.125692	1.463505
55	PLE_training/spring/color_left/trajectory_5014/000224.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000224.PNG	0.999993	-0.002389	-0.001095	-0.002576	0.407022	-0.127227	1.476713
56	PLE_training/spring/color_left/trajectory_5014/000228.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000228.PNG	0.999990	-0.000773	-0.001615	-0.004208	0.376560	-0.126004	1.492381
57	PLE_training/spring/color_left/trajectory_5014/000232.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000232.PNG	0.999980	0.001450	-0.003354	-0.005235	0.345704	-0.119781	1.508247
58	PLE_training/spring/color_left/trajectory_5014/000236.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000236.PNG	0.999966	0.003678	-0.005566	-0.004795	0.317822	-0.107932	1.522142
59	PLE_training/spring/color_left/trajectory_5014/000240.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000240.PNG	0.999945	0.005844	-0.008212	-0.002797	0.294098	-0.091356	1.533808
60	PLE_training/spring/color_left/trajectory_5014/000244.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000244.PNG	0.999913	0.007449	-0.010928	-0.000236	0.276864	-0.070277	1.542406
61	PLE_training/spring/color_left/trajectory_5014/000248.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000248.PNG	0.999888	0.007511	-0.012886	0.000735	0.268780	-0.045171	1.546375
62	PLE_training/spring/color_left/trajectory_5014/000252.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000252.PNG	0.999885	0.005951	-0.013937	-0.000225	0.268000	-0.019702	1.545827
63	PLE_training/spring/color_left/trajectory_5014/000256.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000256.PNG	0.999896	0.003117	-0.013969	-0.001850	0.271863	0.002007	1.542160
64	PLE_training/spring/color_left/trajectory_5014/000260.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000260.PNG	0.999919	-0.000002	-0.012721	0.000357	0.277905	0.016359	1.538980
65	PLE_training/spring/color_left/trajectory_5014/000264.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000264.PNG	0.999916	-0.003269	-0.010106	0.007369	0.282529	0.020426	1.537742
66	PLE_training/spring/color_left/trajectory_5014/000268.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000268.PNG	0.999830	-0.006125	-0.006495	0.016154	0.283673	0.010993	1.540126
67	PLE_training/spring/color_left/trajectory_5014/000272.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000272.PNG	0.999770	-0.007306	-0.002959	0.019956	0.282026	-0.012189	1.548293
68	PLE_training/spring/color_left/trajectory_5014/000276.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000276.PNG	0.999819	-0.006586	0.000132	0.017875	0.277550	-0.041595	1.561845
69	PLE_training/spring/color_left/trajectory_5014/000280.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000280.PNG	0.999929	-0.004313	0.002501	0.010838	0.270689	-0.068624	1.580006
70	PLE_training/spring/color_left/trajectory_5014/000284.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000284.PNG	0.999980	-0.002239	0.003926	0.004531	0.259541	-0.085472	1.600507
71	PLE_training/spring/color_left/trajectory_5014/000288.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000288.PNG	0.999989	-0.001038	0.004449	0.001039	0.245539	-0.092975	1.622133
72	PLE_training/spring/color_left/trajectory_5014/000292.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000292.PNG	0.999991	-0.000640	0.004181	0.000093	0.231033	-0.095417	1.644259
73	PLE_training/spring/color_left/trajectory_5014/000296.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000296.PNG	0.999994	-0.000546	0.003521	-0.000081	0.217218	-0.096533	1.666065
74	PLE_training/spring/color_left/trajectory_5014/000300.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000300.PNG	0.999996	-0.000551	0.002629	-0.000212	0.204932	-0.097615	1.687220
75	PLE_training/spring/color_left/trajectory_5014/000304.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000304.PNG	0.999999	-0.000643	0.001525	-0.000296	0.195070	-0.098914	1.707656
76	PLE_training/spring/color_left/trajectory_5014/000308.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000308.PNG	1.000000	-0.000680	0.000565	-0.000208	0.188882	-0.098958	1.727437
77	PLE_training/spring/color_left/trajectory_5014/000312.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000312.PNG	1.000000	-0.000535	0.000063	0.000163	0.186317	-0.096049	1.746779
78	PLE_training/spring/color_left/trajectory_5014/000316.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000316.PNG	1.000000	-0.000210	0.000015	0.000786	0.185814	-0.089656	1.765905
79	PLE_training/spring/color_left/trajectory_5014/000320.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000320.PNG	1.000000	0.000204	0.000118	0.000884	0.185471	-0.080542	1.784819
80	PLE_training/spring/color_left/trajectory_5014/000324.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000324.PNG	1.000000	0.000617	0.000078	-0.000298	0.184559	-0.069440	1.803378
81	PLE_training/spring/color_left/trajectory_5014/000328.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000328.PNG	0.999996	0.001024	-0.000120	-0.002746	0.183675	-0.055931	1.821479
82	PLE_training/spring/color_left/trajectory_5014/000332.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000332.PNG	0.999985	0.001410	-0.000684	-0.005288	0.181941	-0.040652	1.838690
83	PLE_training/spring/color_left/trajectory_5014/000336.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000336.PNG	0.999974	0.001768	-0.001839	-0.006672	0.178964	-0.024871	1.854494
84	PLE_training/spring/color_left/trajectory_5014/000340.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000340.PNG	0.999968	0.002123	-0.003596	-0.006829	0.176734	-0.009247	1.868654
85	PLE_training/spring/color_left/trajectory_5014/000344.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000344.PNG	0.999966	0.002312	-0.005356	-0.005849	0.178453	0.006039	1.880868
86	PLE_training/spring/color_left/trajectory_5014/000348.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000348.PNG	0.999973	0.001922	-0.005825	-0.003948	0.186238	0.020694	1.890937
87	PLE_training/spring/color_left/trajectory_5014/000352.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000352.PNG	0.999987	0.000862	-0.004851	-0.001181	0.195669	0.032294	1.899379
88	PLE_training/spring/color_left/trajectory_5014/000356.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000356.PNG	0.999994	-0.000369	-0.003057	0.001711	0.201894	0.038419	1.907435
89	PLE_training/spring/color_left/trajectory_5014/000360.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000360.PNG	0.999993	-0.000820	-0.001602	0.003385	0.202681	0.039285	1.916485
90	PLE_training/spring/color_left/trajectory_5014/000364.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000364.PNG	0.999993	-0.000380	-0.000624	0.003701	0.199265	0.038474	1.926417
91	PLE_training/spring/color_left/trajectory_5014/000368.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000368.PNG	0.999996	0.000737	-0.000130	0.002742	0.193071	0.039383	1.936703
92	PLE_training/spring/color_left/trajectory_5014/000372.JPEG	PLE_training/spring/stereo_disparity/trajectory_5014/000372.PNG	0.999998	0.001787	-0.000082	0.000805	0.184943	0.043030	1.946258
