id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/winter/color_left/trajectory_6007/000004.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000004.PNG	0.999862	-0.002250	-0.015806	-0.004695	0.365248	-0.151736	0.724693
1	PLE_training/winter/color_left/trajectory_6007/000008.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000008.PNG	0.999815	-0.002499	-0.018426	-0.004877	0.381995	-0.137037	0.719140
2	PLE_training/winter/color_left/trajectory_6007/000012.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000012.PNG	0.999806	-0.002644	-0.019079	-0.004068	0.402601	-0.118539	0.712379
3	PLE_training/winter/color_left/trajectory_6007/000016.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000016.PNG	0.999832	-0.002712	-0.017937	-0.002451	0.423947	-0.097584	0.706023
4	PLE_training/winter/color_left/trajectory_6007/000020.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000020.PNG	0.999870	-0.002482	-0.015880	-0.001096	0.443261	-0.078327	0.701333
5	PLE_training/winter/color_left/trajectory_6007/000024.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000024.PNG	0.999911	-0.001848	-0.013188	-0.000326	0.459532	-0.061339	0.699231
6	PLE_training/winter/color_left/trajectory_6007/000028.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000028.PNG	0.999948	-0.000932	-0.010119	-0.000125	0.472001	-0.045097	0.700495
7	PLE_training/winter/color_left/trajectory_6007/000032.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000032.PNG	0.999968	-0.000513	-0.008019	-0.000475	0.479339	-0.025946	0.705393
8	PLE_training/winter/color_left/trajectory_6007/000036.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000036.PNG	0.999972	-0.000850	-0.007327	-0.001388	0.482588	-0.003131	0.712912
9	PLE_training/winter/color_left/trajectory_6007/000040.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000040.PNG	0.999962	-0.001877	-0.007991	-0.002833	0.483632	0.022019	0.721701
10	PLE_training/winter/color_left/trajectory_6007/000044.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000044.PNG	0.999948	-0.002549	-0.009039	-0.003921	0.484220	0.035473	0.730832
11	PLE_training/winter/color_left/trajectory_6007/000048.JPEG	PLE_training/winter/stereo_disparity/trajectory_6007/000048.PNG	0.999944	-0.002013	-0.009640	-0.003886	0.485179	0.026026	0.740102
